2026-07-11 00:18:45 [http-nio-8080-exec-5] INFO  c.montero.app.service.UsuarioService - Autenticación exitosa para usuario: mariolopez@gmail.com
2026-07-11 00:18:46 [http-nio-8080-exec-5] INFO  c.montero.app.service.SesionService - Sesión iniciada para mariolopez@gmail.com desde Windows · Chrome
2026-07-11 00:19:17 [http-nio-8080-exec-3] INFO  c.montero.app.service.SesionService - Sesión por token 0642C247AAB13973F4A36780F148631F cerrada para usuario mariolopez@gmail.com
2026-07-11 00:19:22 [http-nio-8080-exec-10] INFO  c.montero.app.service.UsuarioService - Autenticación exitosa para usuario: MariaGarcia@gmail.com
2026-07-11 00:19:22 [http-nio-8080-exec-10] INFO  c.montero.app.service.SesionService - Sesión iniciada para MariaGarcia@gmail.com desde Android · Chrome
2026-07-11 00:19:58 [http-nio-8080-exec-8] WARN  c.montero.app.service.ReservaService - Límite de reservas alcanzado. Pasajero DNI: 73784098, Viaje ID: 35
2026-07-11 00:21:09 [http-nio-8080-exec-7] INFO  c.montero.app.service.ReservaService - Reserva creada exitosamente. Reserva ID: 61, DNI Pasajero: 73784556, Asientos: 17
2026-07-11 00:21:18 [http-nio-8080-exec-7] INFO  c.m.app.service.NotificacionService - Notificación de confirmación creada para la reserva 61
2026-07-11 00:21:18 [http-nio-8080-exec-7] INFO  com.montero.app.service.PagoService - Pago procesado exitosamente. Reserva ID: 61, Método: YAPE
2026-07-11 00:30:00 [http-nio-8080-exec-8] INFO  c.montero.app.service.UsuarioService - Autenticación exitosa para usuario: MariaGarcia@gmail.com
2026-07-11 00:30:00 [http-nio-8080-exec-8] INFO  c.montero.app.service.SesionService - Sesión iniciada para MariaGarcia@gmail.com desde Android · Chrome
2026-07-11 00:46:35 [http-nio-8080-exec-2] INFO  c.montero.app.service.UsuarioService - Autenticación exitosa para usuario: MariaGarcia@gmail.com
2026-07-11 00:46:35 [http-nio-8080-exec-2] INFO  c.montero.app.service.SesionService - Sesión iniciada para MariaGarcia@gmail.com desde Windows · Chrome
2026-07-11 00:46:53 [http-nio-8080-exec-4] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 10
2026-07-11 00:46:55 [http-nio-8080-exec-6] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 9
2026-07-11 00:46:56 [http-nio-8080-exec-5] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 8
2026-07-11 00:46:59 [http-nio-8080-exec-7] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 7
2026-07-11 00:47:05 [http-nio-8080-exec-8] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 6
2026-07-11 00:47:06 [http-nio-8080-exec-10] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 5
2026-07-11 00:47:06 [http-nio-8080-exec-9] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 4
2026-07-11 00:47:07 [http-nio-8080-exec-1] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 1
2026-07-11 00:47:10 [http-nio-8080-exec-3] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 2
2026-07-11 00:47:30 [http-nio-8080-exec-4] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 12
2026-07-11 00:47:31 [http-nio-8080-exec-6] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 13
2026-07-11 00:53:16 [http-nio-8080-exec-2] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 3
2026-07-11 00:53:46 [http-nio-8080-exec-4] INFO  c.montero.app.service.UsuarioService - Autenticación exitosa para usuario: MariaGarcia@gmail.com
2026-07-11 00:53:46 [http-nio-8080-exec-4] INFO  c.montero.app.service.SesionService - Sesión iniciada para MariaGarcia@gmail.com desde Windows · Chrome
2026-07-11 00:54:24 [http-nio-8080-exec-8] WARN  c.montero.app.service.ReservaService - Límite de reservas alcanzado. Pasajero DNI: 73784556, Viaje ID: 35
2026-07-11 00:54:44 [http-nio-8080-exec-1] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 21
2026-07-11 00:56:00 [http-nio-8080-exec-5] INFO  c.montero.app.service.ReservaService - Reserva creada exitosamente. Reserva ID: 62, DNI Pasajero: 12345678, Asientos: 26
2026-07-11 00:56:09 [http-nio-8080-exec-6] INFO  c.m.app.service.NotificacionService - Notificación de confirmación creada para la reserva 62
2026-07-11 00:56:09 [http-nio-8080-exec-6] INFO  com.montero.app.service.PagoService - Pago procesado exitosamente. Reserva ID: 62, Método: YAPE
2026-07-11 00:56:32 [http-nio-8080-exec-9] INFO  c.m.app.service.NotificacionService - Notificación eliminada. ID: 19
